id,hsk_level,chinese,pinyin,english,myanmar,example_sentence_cn,example_sentence_pinyin,example_sentence_eng,example_sentence_my,related words
1,1,爱,ài,love,ချစ်သည်၊ နှစ်သက်သည်၊ သဘောကျသည်,我爱妈妈。 | 我爱学习汉语。 | 我爱我的家。 | 你爱吃中国菜吗？ | 我很爱我的朋友。,Wǒ ài māma. | Wǒ ài xuéxí Hànyǔ. | Wǒ ài wǒ de jiā. | Nǐ ài chī Zhōngguó cài ma? | Wǒ hěn ài wǒ de péngyou.,I love my mother. | I love learning Chinese. | I love my home. | Do you like eating Chinese food? | I love my friend very much.,ကျွန်တော်/ကျွန်မ အမေကို ချစ်တယ်။ | ကျွန်တော်/ကျွန်မ တရုတ်စာ လေ့လာရတာကို သဘောကျတယ်။ | ကျွန်တော်/ကျွန်မ ကိုယ့်အိမ်ကို ချစ်တယ်။ | မင်း တရုတ်အစားအစာ စားရတာ ကြိုက်လား။ | ကျွန်တော်/ကျွန်မ သူငယ်ချင်းကို အရမ်းချစ်တယ်။,爱好 (àihào) — ဝါသနာပါသည်၊ ဝါသနာ | 喜爱 (xǐ'ài) — နှစ်သက်သည်၊ ချစ်ခင်သည် | 可爱 (kě'ài) — ချစ်စရာကောင်းသည် | 热爱 (rè'ài) — အလွန်ချစ်ခင်သည်၊ အလွန်နှစ်သက်သည် | 爱心 (àixīn) — မေတ္တာစိတ်၊ ကရုဏာစိတ်
2,1,爱好,ài hào,hobby,ဝါသနာပါသည်၊ ဝါသနာ၊ စိတ်ဝင်စားနှစ်သက်သည်,我的爱好是听音乐。 | 我的爱好是看电影。 | 你有什么爱好？ | 我有很多爱好。 | 阅读是我的爱好。,Wǒ de àihào shì tīng yīnyuè. | Wǒ de àihào shì kàn diànyǐng. | Nǐ yǒu shénme àihào? | Wǒ yǒu hěn duō àihào. | Yuèdú shì wǒ de àihào.,My hobby is listening to music. | My hobby is watching movies. | What are your hobbies? | I have many hobbies. | Reading is my hobby.,ကျွန်တော်/ကျွန်မရဲ့ ဝါသနာက သီချင်းနားထောင်တာပါ။ | ကျွန်တော်/ကျွန်မရဲ့ ဝါသနာက ရုပ်ရှင်ကြည့်တာပါ။ | မင်းမှာ ဘာဝါသနာတွေရှိလဲ။ | ကျွန်တော်/ကျွန်မမှာ ဝါသနာတွေ အများကြီးရှိတယ်။ | စာဖတ်တာက ကျွန်တော်/ကျွန်မရဲ့ ဝါသနာပါ။,兴趣 (xìngqù) — စိတ်ဝင်စားမှု၊ ဝါသနာ | 爱好者 (àihàozhě) — ဝါသနာရှင် | 爱好音乐 (àihào yīnyuè) — ဂီတကို နှစ်သက်သည် | 个人爱好 (gèrén àihào) — ကိုယ်ပိုင်ဝါသနာ | 兴趣爱好 (xìngqù àihào) — စိတ်ဝင်စားမှုနှင့် ဝါသနာ
3,1,八,bā,eight,နံပါတ် (၈),我有八本书。 | 现在是八点。 | 我家有八个人。 | 八月是我的生日。 | 我每天八点起床。,Wǒ yǒu bā běn shū. | Xiànzài shì bā diǎn. | Wǒ jiā yǒu bā gè rén. | Bā yuè shì wǒ de shēngrì. | Wǒ měitiān bā diǎn qǐchuáng.,I have eight books. | It is eight o'clock now. | There are eight people in my family. | My birthday is in August. | I get up at eight every day.,ကျွန်တော်/ကျွန်မမှာ စာအုပ်ရှစ်အုပ်ရှိတယ်။ | အခု ရှစ်နာရီရှိပြီ။ | ကျွန်တော်/ကျွန်မတို့ မိသားစုမှာ လူရှစ်ယောက်ရှိတယ်။ | ဩဂုတ်လမှာ ကျွန်တော်/ကျွန်မ မွေးနေ့ရှိတယ်။ | ကျွန်တော်/ကျွန်မ နေ့တိုင်း ရှစ်နာရီမှာ အိပ်ရာထတယ်။,八月 (bā yuè) — ဩဂုတ်လ | 八点 (bā diǎn) — ရှစ်နာရီ | 八个 (bā gè) — ရှစ်ခု/ရှစ်ယောက် | 八十 (bāshí) — ရှစ်ဆယ် | 八百 (bābǎi) — ရှစ်ရာ
4,1,爸爸｜爸,bàba ｜ bà,dad,အဖေ၊ ဖခင်,我爸爸是一名老师。 | 我爸爸每天都很忙。 | 我的爸爸喜欢喝茶。 | 爸爸在家吗？ | 我爱我的爸爸。,Wǒ bàba shì yì míng lǎoshī. | Wǒ bàba měitiān dōu hěn máng. | Wǒ de bàba xǐhuan hē chá. | Bàba zài jiā ma? | Wǒ ài wǒ de bàba.,My father is a teacher. | My father is very busy every day. | My father likes drinking tea. | Is Dad at home? | I love my father.,ကျွန်တော်/ကျွန်မ အဖေက ဆရာတစ်ယောက်ပါ။ | ကျွန်တော်/ကျွန်မ အဖေက နေ့တိုင်း အရမ်းအလုပ်များတယ်။ | ကျွန်တော်/ကျွန်မ အဖေက လက်ဖက်ရည်သောက်ရတာ ကြိုက်တယ်။ | အဖေ အိမ်မှာရှိလား။ | ကျွန်တော်/ကျွန်မ အဖေကို ချစ်တယ်။,爸 (bà) — အဖေ | 父亲 (fùqīn) — ဖခင် | 爸妈 (bàmā) — အဖေနဲ့အမေ | 爸爸妈妈 (bàba māma) — အဖေနဲ့အမေ | 老爸 (lǎobà) — အဖေ (အခေါ်အဝေါ်)
5,1,吧,ba,(interjection particle),နော်၊ လုပ်ကြစို့၊ ဖြစ်မယ်နော် (ဝါကျအဆုံးတွင် အကြံပြုခြင်း/အတည်ပြုခြင်းအတွက် သုံးသည်),我们走吧。 | 吃饭吧。 | 你休息一下吧。 | 明天再来吧。 | 我们一起学习吧。,Wǒmen zǒu ba. | Chīfàn ba. | Nǐ xiūxi yíxià ba. | Míngtiān zài lái ba. | Wǒmen yìqǐ xuéxí ba.,Let's go. | Let's eat. | Take a rest. | Come again tomorrow. | Let's study together.,သွားကြစို့။ | ထမင်းစားကြစို့။ | ခဏနားလိုက်ပါ။ | မနက်ဖြန်မှ ပြန်လာပါ။ | အတူတူ စာလေ့လာကြစို့။,好吧 (hǎo ba) — ကောင်းပြီလေ | 行吧 (xíng ba) — ရပါတယ်လေ | 算了吧 (suàn le ba) — ထားလိုက်ပါတော့ | 对吧 (duì ba) — ဟုတ်တယ်မလား | 是吧 (shì ba) — ဟုတ်တယ်မလား
6,1,白（形）,bái,white,ဖြူသော၊ အဖြူရောင်၊ အရောင်ဖျော့သော,我的衣服是白色的。 | 这只猫是白的。 | 我喜欢白色。 | 她穿了一件白衣服。 | 天空中有一朵白云。,Wǒ de yīfu shì báisè de. | Zhè zhī māo shì bái de. | Wǒ xǐhuan báisè. | Tā chuān le yí jiàn bái yīfu. | Tiānkōng zhōng yǒu yì duǒ báiyún.,My clothes are white. | This cat is white. | I like white. | She is wearing a white piece of clothing. | There is a white cloud in the sky.,ကျွန်တော်/ကျွန်မရဲ့ အဝတ်အစားက အဖြူရောင်ပါ။ | ဒီကြောင်က အဖြူရောင်ပါ။ | ကျွန်တော်/ကျွန်မ အဖြူရောင်ကို ကြိုက်တယ်။ | သူမ အဖြူရောင်အဝတ်တစ်ထည် ဝတ်ထားတယ်။ | ကောင်းကင်မှာ တိမ်ဖြူရှိတယ်။,白色 (báisè) — အဖြူရောင် | 白衣服 (bái yīfu) — အဖြူရောင်အဝတ်အစား | 白云 (báiyún) — တိမ်ဖြူ | 白纸 (báizhǐ) — စာရွက်ဖြူ | 白花 (báihuā) — ပန်းဖြူ
7,1,白天,bái tiān,day,နေ့ခင်း၊ နေ့အချိန်၊ နေ့ဘက်,白天我在学校学习。 | 白天很热。 | 他白天上班，晚上回家。 | 白天不要睡太多。 | 我喜欢白天出去。,,I study at school during the day. | It is very hot during the day. | He works during the day and goes home at night. | Don't sleep too much during the day. | I like going out during the day.,နေ့ခင်းဘက်မှာ ကျွန်တော်/ကျွန်မ ကျောင်းမှာ စာလေ့လာတယ်။ | နေ့ခင်းဘက်မှာ အရမ်းပူတယ်။ | သူက နေ့ခင်းဘက်မှာ အလုပ်လုပ်ပြီး ညဘက်မှာ အိမ်ပြန်တယ်။ | နေ့ခင်းဘက်မှာ အရမ်းမအိပ်ပါနဲ့။ | ကျွန်တော်/ကျွန်မ နေ့ခင်းဘက် အပြင်ထွက်ရတာ ကြိုက်တယ်။,白天 (báitiān) — နေ့ခင်းဘက် | 黑夜 (hēiyè) — ညအမှောင် | 白天黑夜 (báitiān hēiyè) — နေ့ရောညပါ | 白天班 (báitiān bān) — နေ့ခင်းအလုပ်ချိန် | 大白天 (dà báitiān) — နေ့ခင်းကြောင်တောင်
8,1,百,bǎi,hundred,တစ်ရာ၊ ၁၀၀,一百个人。 | 我有一百块钱。 | 这本书有一百页。 | 一百元可以买很多东西。 | 一百加一百等于两百。,Yì bǎi gè rén. | Wǒ yǒu yì bǎi kuài qián. | Zhè běn shū yǒu yì bǎi yè. | Yì bǎi yuán kěyǐ mǎi hěn duō dōngxi. | Yì bǎi jiā yì bǎi děngyú liǎng bǎi.,One hundred people. | I have one hundred yuan. | This book has one hundred pages. | One hundred yuan can buy many things. | One hundred plus one hundred equals two hundred.,လူတစ်ရာ။ | ကျွန်တော်/ကျွန်မမှာ ယွမ်တစ်ရာရှိတယ်။ | ဒီစာအုပ်မှာ စာမျက်နှာတစ်ရာရှိတယ်။ | ယွမ်တစ်ရာနဲ့ ပစ္စည်းအများကြီး ဝယ်လို့ရတယ်။ | တစ်ရာနဲ့တစ်ရာပေါင်းရင် နှစ်ရာရတယ်။,一百 (yì bǎi) — တစ်ရာ | 两百 (liǎng bǎi) — နှစ်ရာ | 三百 (sān bǎi) — သုံးရာ | 百分之百 (bǎi fēn zhī bǎi) — ရာနှုန်းပြည့် | 百万 (bǎi wàn) — တစ်သန်း
9,1,班,bān,class,အတန်း၊ အတန်းခွဲ၊ အလုပ်အဖွဲ့,我们班有二十个学生。 | 我在一班学习。 | 我们班的老师很好。 | 你在哪个班？ | 我们班今天不上课。,Wǒmen bān yǒu èrshí gè xuéshēng. | Wǒ zài yī bān xuéxí. | Wǒmen bān de lǎoshī hěn hǎo. | Nǐ zài nǎge bān? | Wǒmen bān jīntiān bù shàngkè.,There are twenty students in our class. | I study in Class One. | Our class teacher is very good. | Which class are you in? | Our class doesn't have class today.,ကျွန်တော်/ကျွန်မတို့အတန်းမှာ ကျောင်းသား/သူ နှစ်ဆယ်ရှိတယ်။ | ကျွန်တော်/ကျွန်မက အတန်းတစ်မှာ စာသင်တယ်။ | ကျွန်တော်/ကျွန်မတို့အတန်းရဲ့ ဆရာ/ဆရာမက အရမ်းကောင်းတယ်။ | မင်း ဘယ်အတန်းမှာလဲ။ | ဒီနေ့ ကျွန်တော်/ကျွန်မတို့အတန်းမှာ စာသင်ချိန်မရှိဘူး။,班级 (bānjí) — အတန်း၊ အတန်းအဖွဲ့ | 上班 (shàngbān) — အလုပ်သွားသည်၊ အလုပ်ဆင်းသည် | 下班 (xiàbān) — အလုပ်ဆင်းသည် | 班长 (bānzhǎng) — အတန်းခေါင်းဆောင် | 夜班 (yèbān) — ညအလုပ်ချိန်
10,1,半,bàn,half,တစ်ဝက်၊ တစ်ဝက်ခန့်၊ နာရီဝက်,我吃了一半。 | 现在是六点半。 | 我只喝了半杯水。 | 这本书我看了一半。 | 半个小时以后见。,Wǒ chī le yíbàn. | Xiànzài shì liù diǎn bàn. | Wǒ zhǐ hē le bàn bēi shuǐ. | Zhè běn shū wǒ kàn le yíbàn. | Bàn gè xiǎoshí yǐhòu jiàn.,I ate half of it. | It is half past six now. | I only drank half a glass of water. | I have read half of this book. | See you in half an hour.,ကျွန်တော်/ကျွန်မ တစ်ဝက်စားလိုက်တယ်။ | အခု ခြောက်နာရီခွဲရှိပြီ။ | ကျွန်တော်/ကျွန်မ ရေတစ်ခွက်ရဲ့ တစ်ဝက်ပဲ သောက်လိုက်တယ်။ | ဒီစာအုပ်ကို ကျွန်တော်/ကျွန်မ တစ်ဝက်ဖတ်ပြီးပြီ။ | နာရီဝက်ကြာရင် တွေ့မယ်။,一半 (yíbàn) — တစ်ဝက် | 半小时 (bàn xiǎoshí) — နာရီဝက် | 半个 (bàn gè) — တစ်ဝက်၊ တစ်ခုရဲ့ တစ်ဝက် | 半天 (bàntiān) — နေ့တစ်ဝက်၊ အချိန်အတော်ကြာ | 半夜 (bànyè) — သန်းခေါင်ယံ၊ ညလယ်
